index,m2,m3,m5,x,y,z
1,0.0,-1.0,-2.0,-0.31613212453632683,0.001053730418848048,0.19460542848012607
2,0.0,-1.1,0.0,-0.2925580179657201,0.0010536761269376099,0.16414552832580845
3,0.0,-1.1,-1.7000000000000002,-0.4074932602433683,0.0010536862101634408,0.18643972372213746
4,0.0,-1.1,-1.8,-0.36998993752199894,0.001053727275468502,0.17518318450100484
5,0.0,-1.1,-1.9000000000000001,-0.33155015023039675,0.0010536841494330422,0.16772695046771482
6,0.0,-1.1,-2.0,-0.3315501502274018,0.0010536841540305342,0.16772695044671465
7,0.0,-1.2000000000000002,0.0,-0.29255802168224065,0.001053722512617444,0.16414555010461845
8,0.0,-1.2000000000000002,-1.4000000000000001,-0.49086257991412013,0.001053693788534707,0.19158364204961714
9,0.0,-1.2000000000000002,-1.5,-0.45634311520504267,0.001053692469717394,0.17310069759675933
10,0.0,-1.2000000000000002,-1.6,-0.42015088922146326,0.0010536909190389811,0.15815629525854089
11,0.0,-1.2000000000000002,-1.7000000000000002,-0.3826475211761348,0.0010536899161143485,0.14689973959844882
12,0.0,-1.2000000000000002,-1.8,-0.34420778082681164,0.0010536885520374129,0.13944352298723095
13,0.0,-1.2000000000000002,-1.9000000000000001,-0.305215652035913,0.0010536874722113759,0.13586211735297946
14,0.0,-1.2000000000000002,-2.0,-0.2660607774528261,0.0010537167813080182,0.13619132212436413
15,0.0,-1.3,-1.2000000000000002,-0.5331351246070479,0.001053699384995132,0.18401469719768418
16,0.0,-1.3,-1.3,-0.5006333700035446,0.0010536978335128214,0.16217791611985666
17,0.0,-1.3,-1.4000000000000001,-0.46611390899544614,0.0010536959320138705,0.14369497315874086
18,0.0,-1.3,-1.5,-0.46611390910163936,0.001053696046142355,0.1436949738543364
19,0.0,-1.3,-1.6,-0.3924183194069917,0.0010536928051251642,0.1174940025336002
20,0.0,-1.3,-1.7000000000000002,-0.35397853337262647,0.0010536913579443274,0.11003776963838599
21,0.0,-1.3,-1.8,-0.31498645154612076,0.0010536901267831763,0.10645636498529079
22,0.0,-1.3,-1.9000000000000001,-0.2758315770889786,0.00105368899264342,0.10678556391494606
23,0.0,-1.3,-2.0,-0.23690517810612505,0.0010536881459591646,0.11102208187246113
24,0.0,-1.4000000000000001,-1.0,-0.5700807708768068,0.0010537041010644631,0.1787528493162156
25,0.0,-1.4000000000000001,-1.1,-0.5399213941650712,0.0010537021277829258,0.15378037272703035
26,0.0,-1.4000000000000001,-1.2000000000000002,-0.5399213938433324,0.001053702291582226,0.15378036988670027
27,0.0,-1.4000000000000001,-1.3,-0.47290017916030647,0.0010536984531255686,0.1134606422722178
28,0.0,-1.4000000000000001,-1.4000000000000001,-0.4729001799761079,0.0010536983348249137,0.11346064607420817
29,0.0,-1.4000000000000001,-1.5,-0.39920459092904403,0.0010536947462251557,0.08725967154137121
30,0.0,-1.4000000000000001,-1.6,-0.36076480532296007,0.001053693167154633,0.07980343796017972
31,0.0,-1.4000000000000001,-1.7000000000000002,-0.3217726760095966,0.0010536918402675461,0.07622202785884488
32,0.0,-1.4000000000000001,-1.8,-0.2826178491094079,0.001053690280745262,0.07655122957981694
33,0.0,-1.4000000000000001,-1.9000000000000001,-0.24369145091288152,0.0010536890492729928,0.08078774838653802
