m2,m3,m5,x,y,z
-0.3,-1.8707963267948966,-1.8707963267948966,-0.13512810691492125,0.001053468142448748,0.03175745387674361
-0.29,-1.8607963267948966,-1.8607963267948966,-0.14078971653625702,0.0010535788072489646,0.03120002987619991
-0.27999999999999997,-1.8507963267948966,-1.8507963267948966,-0.1464682519713314,0.00105359020053601,0.030660981499210704
-0.26999999999999996,-1.8407963267948966,-1.8407963267948966,-0.15216313991374308,0.0010535907287376155,0.030140358811779122
-0.25999999999999995,-1.8307963267948966,-1.8307963267948966,-0.15787380535870107,0.0010536003153537163,0.029638209212859395
-0.24999999999999994,-1.8207963267948966,-1.8207963267948966,-0.16359968827419943,0.0010536126819956618,0.029154592142437985
-0.23999999999999994,-1.8107963267948965,-1.8107963267948965,-0.16934020779589815,0.0010536197793388582,0.028689548886617428
-0.22999999999999993,-1.8007963267948965,-1.8007963267948965,-0.1750948863561574,0.0010536269950420095,0.028243146583742218
-0.21999999999999992,-1.7907963267948965,-1.7907963267948965,-0.1808629612837527,0.001053633478863131,0.027815394326097448
-0.2099999999999999,-1.7807963267948965,-1.7807963267948965,-0.18664394927050687,0.0010536328357222183,0.027406352151791297
-0.1999999999999999,-1.7707963267948965,-1.7707963267948965,-0.19243727502408556,0.001053645866380547,0.02701606387468991
-0.1899999999999999,-1.7607963267948965,-1.7607963267948965,-0.19824235362424858,0.0010536503784199134,0.026644562827872115
-0.17999999999999988,-1.7507963267948965,-1.7507963267948965,-0.2040586101745897,0.0010536571215750072,0.02629189200456475
-0.16999999999999987,-1.7407963267948965,-1.7407963267948965,-0.20216215666424106,0.0010536574056389184,0.024260770155039746
-0.15999999999999986,-1.7307963267948965,-1.7307963267948965,-0.2157223155468196,0.0010536634165713985,0.02564316514873008
-0.14999999999999986,-1.7207963267948965,-1.7207963267948965,-0.22156860364161923,0.0010536679644472043,0.025347180252732082
-0.13999999999999985,-1.7107963267948965,-1.7107963267948965,-0.22742373145651293,0.0010536693817691555,0.025070149048778856
-0.12999999999999984,-1.7007963267948965,-1.7007963267948965,-0.23328711630572488,0.0010536738325969985,0.024812102466207325
-0.11999999999999983,-1.6907963267948964,-1.6907963267948964,-0.2391581732755362,0.0010536764052135167,0.0245730680804708
-0.10999999999999982,-1.6807963267948964,-1.6807963267948964,-0.24503631385205407,0.0010536792259966416,0.024353068104361886
-0.09999999999999981,-1.6707963267948964,-1.6707963267948964,-0.2509210431556222,0.0010536814807291495,0.024152152166024732
-0.0899999999999998,-1.6607963267948964,-1.6607963267948964,-0.2568115869613085,0.0010536834115862054,0.02397028602877435
-0.0799999999999998,-1.6507963267948964,-1.6507963267948964,-0.2627074476273643,0.0010536854285074363,0.023807512623816418
-0.06999999999999978,-1.6407963267948964,-1.6407963267948964,-0.2686080384206305,0.001053686737313282,0.023663852096884735
-0.059999999999999776,-1.6307963267948964,-1.6307963267948964,-0.2745127671527205,0.0010536880723195023,0.023539315879056416
-0.04999999999999977,-1.6207963267948964,-1.6207963267948964,-0.2804210447825261,0.0010536892290644076,0.0234339184462882
-0.03999999999999976,-1.6107963267948964,-1.6107963267948964,-0.2863322790624729,0.001053690142580912,0.023347668270491256
-0.02999999999999975,-1.6007963267948964,-1.6007963267948964,-0.2922458799455193,0.0010536909988165004,0.023280575543559334
-0.01999999999999974,-1.5907963267948964,-1.5907963267948964,-0.29816125572131913,0.0010536913824722158,0.02323264645119824
-0.009999999999999731,-1.5807963267948963,-1.5807963267948963,-0.30407781485870955,0.0010536917509275329,0.02320388578688498
2.7755575615628914e-16,-1.5707963267948963,-1.5707963267948963,-0.3099949486842323,0.0010536920657692162,0.023194268900796094
0.010000000000000286,-1.5607963267948963,-1.5607963267948963,-0.3159121158469023,0.0010536920539647575,0.023203878150574675
0.020000000000000295,-1.5507963267948963,-1.5507963267948963,-0.32182876908476843,0.0010536914804639287,0.02323267235339091
0.030000000000000304,-1.5407963267948963,-1.5407963267948963,-0.32774414485434333,0.001053691193624337,0.0232805959197398
0.04000000000000031,-1.5307963267948963,-1.5307963267948963,-0.3277441448543434,0.0010536907546966612,0.023280595918844516
